Collection ID,Artist (Japanese),Artist (English),Title (Japanese),Title (English),Label,Catalog Number,Year,Format,Country,Genre,Retail Price (JPY),Notes,Source Photo,Cover Image Filename,Discogs URL,Cover Source,Cover Status,Research Notes,Obi,Shelf Location,Vinyl Condition,Sleeve Condition,Inserts,Purchase Date,Price Paid,Purchase Currency,Verification Issues,Verification Status,Last Updated,Album Summary,Summary Source,Summary Source Label,Artist Info URL,Artist Info Label
25,西田佐知子,Sachiko Nishida,恋と愛と涙,"Koi to Ai to Namida (Love, Affection, and Tears)",Polydor,MR 8001/2,1970,2LP,Japan,Kayōkyoku / Mood Kayō,"¥2,000",,IMG_3239.jpg — single album,25_nishida_koi_ai_namida.jpg,https://www.discogs.com/release/11645824,https://www.discogs.com/release/11645824,discogs,"Photo audit 2026-09-17: IMG_3239.jpg, single album. Artist, title and visible catalogue identifier checked against the original photograph.
Earlier imported notes (retained as history; may contain superseded readings): Released 1970-05-01. Orange Polydor obi, 全24曲. Close-up photo batch.",Present (visible in photo),,,,,,,,,Photo checked,2026-09-17,"A twenty-four-song, two-record anthology including “Coffee Rumba”, “Tokyo Blues” and “Akashia no Ame ga Yamu Toki”. The title translates approximately as Love, Affection, and Tears.",https://www.discogs.com/release/11645824,Discogs release and track listing,https://www.discogs.com/artist/1088200,Discogs artist profile
26,森山良子,Ryoko Moriyama,良子の子守唄,Ryoko's Lullabies / Sings Lullaby,Philips,FS-8021,1968,LP,Japan,Folk / Lullaby,"¥1,700",,IMG_3232.jpg — top left,26_moriyama_komoriuta.jpg,https://www.discogs.com/release/14059461,https://www.discogs.com/release/14059461,discogs,"Photo audit 2026-09-17: IMG_3232.jpg, top left. Artist, title and visible catalogue identifier checked against the original photograph.
Earlier imported notes (retained as history; may contain superseded readings): Philips FS-8021 (1968). Parent tentative FS-8041 is a different Moriyama title; Discogs/MION confirm FS-8021 for 良子の子守唄.",Present (visible in photo),,,,,,,,,Photo checked,2026-09-17,"A lullaby programme combining Japanese songs with international selections such as “Hushabye Mountain”, “Summertime” and “Hush Little Baby”. Released on Philips in 1968.",https://www.discogs.com/release/14059461,Discogs release and track listing,https://www.discogs.com/artist/440134,Discogs artist profile
27,やまがたすみこ,Sumiko Yamagata,風・空・そして愛,"Kaze, Sora, Soshite Ai (Wind, Sky, and Love)",Columbia (Nippon Columbia),YS-10144-J,1973,LP,Japan,Folk / College Folk,,Original catalogue number YS-10144-J is visible at the top right. The previous CD-7098 reading was incorrect.,IMG_3232.jpg — top right,27_verified_front_20260917.jpg,https://www.discogs.com/search/?q=%E3%82%84%E3%81%BE%E3%81%8C%E3%81%9F%E3%81%99%E3%81%BF%E3%81%93%20YS-10144-J%20%E9%A2%A8%E3%83%BB%E7%A9%BA%E3%83%BB%E3%81%9D%E3%81%97%E3%81%A6%E6%84%9B,https://www.fanfan1.com/products/detail/813748,retailer,"Photo audit 2026-09-17: IMG_3232.jpg, top right. Original catalogue number YS-10144-J is visible at the top right. The previous CD-7098 reading was incorrect. Reference: https://www.fanfan1.com/products/detail/813748
Earlier imported notes (retained as history; may contain superseded readings): Jacket prints CD-7098. Columbia official: debut LP 1973-03-25; paper-sleeve CD cites original YS-10144. CD-7098 is Columbia CD-series repress/reissue of same album. Tracks match debut 12-song program.",Not visible in supplied photo,,,,,,,,,Photo checked,2026-09-17,"Yamagata’s debut album, originally released on 25 March 1973 when she was sixteen. Its folk repertoire includes “Kaze ni Fukarete Ikō”, “Akai Hana Shiroi Hana” and “Mayonaka no Guitar”.",https://columbia.jp/artist-info/yamagatasumiko/discography/COCP-39360.html,Columbia album notes,https://columbia.jp/j-digs/artists/sumikoyamagata.html,Columbia artist profile
28,いしだあゆみ,Ayumi Ishida,リサイタル = My First Recital,My First Recital,Columbia,YS-10075-J,1970,LP,Japan,Kayōkyoku / Live,"¥1,900",,IMG_3232.jpg — bottom left,28_ishida_recital.jpg,https://www.discogs.com/release/5305338,https://www.discogs.com/release/5305338,discogs,"Photo audit 2026-09-17: IMG_3232.jpg, bottom left. Artist, title and visible catalogue identifier checked against the original photograph.
Earlier imported notes (retained as history; may contain superseded readings): Released 1970-01-10. Live 1969-10-27 Sankei Hall. Red Columbia obi. Gatefold. Backing: Nobuo Hara & Sharps & Flats + strings. 17 tracks.",Present (visible in photo),,,,,,,,,Photo checked,2026-09-17,"Recorded at Tokyo’s Sankei Hall on 27 October 1969, this recital pairs Ishida’s songs with film themes and international favourites. Selections include “Blue Light Yokohama”, “Scarborough Fair” and “The Shadow of Your Smile”.",https://www.discogs.com/release/5305338,Discogs release and track listing,https://www.discogs.com/artist/311861,Discogs artist profile
29,西田佐知子,Sachiko Nishida,城ヶ島の雨 — 日本の叙情曲を歌う,Jogashima no Ame — Sings Japanese Lyrical Songs,Polydor,MR 3133,1970,LP,Japan,Kayōkyoku / Lyrical songs,"¥1,700",,IMG_3232.jpg — bottom right,29_nishida_jogashima.jpg,https://www.discogs.com/release/35741143,https://www.discogs.com/release/35741143,discogs,"Photo audit 2026-09-17: IMG_3232.jpg, bottom right. Artist, title and visible catalogue identifier checked against the original photograph.
Earlier imported notes (retained as history; may contain superseded readings): Released 1970-09-01. Reissue of SLJM-1022 with reordered tracks (Wikipedia). Green panel lists titles. Side split below follows common SLJM/compact program; MR-3133 order may differ — mark if verifying against disc.",Present (visible in photo),,,,,,,,Track order must be checked against MR 3133; older notes used a related release.,Needs verification,2026-09-17,"Nishida interprets twelve Japanese lyrical songs, including “Hamabe no Uta”, “Kōjō no Tsuki”, “Hana” and the title piece. The collection was issued by Polydor in 1970.",https://www.discogs.com/release/35741143,Discogs release and track listing,https://www.discogs.com/artist/1088200,Discogs artist profile
30,小林幸子,Sachiko Kobayashi,おもいで酒,Omoide-zake,Warner-Pioneer,L-10148W,1979,LP,Japan,Enka,"¥2,400",,IMG_3233.jpg — top left,30_kobayashi_omoidezake.jpg,https://www.discogs.com/release/9432885,https://www.discogs.com/release/9432885,discogs,"Photo audit 2026-09-17: IMG_3233.jpg, top left. Artist, title and visible catalogue identifier checked against the original photograph.
Earlier imported notes (retained as history; may contain superseded readings): Jacket L-10148W Warner-Pioneer Best Enka Album. Parent MR-3180 incorrect.",Present (visible in photo),,,,,,,,,Photo checked,2026-09-17,"An enka album led by “Omoide-zake”, alongside interpretations of “Tsugaru Kaikyō Fuyugeshiki”, “Kita no Yado kara” and “Kitaguni no Haru”. Released in 1979.",https://www.discogs.com/release/9432885,Discogs release and track listing,https://www.discogs.com/artist/5666652,Discogs artist profile
31,美空ひばり,Hibari Misora,歌は我が命 第2集,Uta wa Waga Inochi Vol. 2,Columbia,ALS-5059,1968,LP,Japan,Enka / Kayōkyoku,,Blue sleeve with oval portrait. ALS-5059 is printed at the top left.,IMG_3233.jpg — top right,31_verified_front_20260917.jpg,https://www.discogs.com/search/?q=%E7%BE%8E%E7%A9%BA%E3%81%B2%E3%81%B0%E3%82%8A%20ALS-5059%20%E6%AD%8C%E3%81%AF%E6%88%91%E3%81%8C%E5%91%BD%20%E7%AC%AC2%E9%9B%86,https://www.snowrecords.jp/?pid=174418464,retailer,"Photo audit 2026-09-17: IMG_3233.jpg, top right. Blue sleeve with oval portrait. ALS-5059 is printed at the top left. Reference: https://www.snowrecords.jp/?pid=174418464
Earlier imported notes (retained as history; may contain superseded readings): CORRECTED: photo top-left prints ALS-5059; Columbia HQCD notes original ALS-5059 (1968-05-29) for 第2集. Tentative ALS-5135 does not match jacket or official discography. Dark blue cover, oval portrait.",Not visible in supplied photo,,,,,,,,,Photo checked,2026-09-17,"The second volume of Uta wa Waga Inochi, presented in a blue Columbia sleeve. The photographed copy identifies Hibari Misora and catalogue ALS-5059; the sleeve is retained as the primary identification source.",https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3233.jpg,Original sleeve (collection note),https://en.wikipedia.org/wiki/Hibari_Misora,Wikipedia
32,西川峰子,Mineko Nishikawa,あなたにあげる,Anata ni Ageru,Victor,SJX-198,1974,LP,Japan,Kayōkyoku / Enka,,Victor SJX-198 is visible at the top left.,IMG_3233.jpg — bottom left,32_verified_front_20260917.jpg,https://www.discogs.com/search/?q=%E8%A5%BF%E5%B7%9D%E5%B3%B0%E5%AD%90%20SJX-198%20%E3%81%82%E3%81%AA%E3%81%9F%E3%81%AB%E3%81%82%E3%81%92%E3%82%8B,https://www.fanfan1.com/products/detail/820950,retailer,"Photo audit 2026-09-17: IMG_3233.jpg, bottom left. Victor SJX-198 is visible at the top left. Reference: https://www.fanfan1.com/products/detail/820950
Earlier imported notes (retained as history; may contain superseded readings): Victor portrait cover. Discogs/MION/SnowRecords list SJX-198 (1974). Photo crop tentatively read SJX-189 — likely 8/9 OCR; verify spine. 12 tracks from MION.",Not visible in supplied photo,,,,,,,,,Photo checked,2026-09-17,"A Victor album bearing the title “Anata ni Ageru”. The photographed sleeve confirms Mineko Nishikawa and catalogue SJX-198, with a close-up portrait and pink title panel.",https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3233.jpg,Original sleeve (collection note),https://www.discogs.com/artist/3756573,Discogs artist profile
33,都はるみ,Harumi Miyako,大阪しぐれ,Osaka Shigure,Columbia,AX-7226,1980,LP,Japan,Enka,,AX-7226 is printed at the top right; the prior AK-7168 reading was incorrect.,IMG_3233.jpg — bottom right,33_official_front.jpg,https://www.discogs.com/search/?q=%E9%83%BD%E3%81%AF%E3%82%8B%E3%81%BF%20AX-7226%20%E5%A4%A7%E9%98%AA%E3%81%97%E3%81%90%E3%82%8C,https://columbia.jp/artist-info/harumi/discography/COKM-46459.html,official,"Photo audit 2026-09-17: IMG_3233.jpg, bottom right. AX-7226 is printed at the top right; the prior AK-7168 reading was incorrect.
Earlier imported notes (retained as history; may contain superseded readings): Green vertical banner lists tracks matching Columbia album AX-7226 (1980-02-25). Photo tentatively read AK-7168 (AK-216 is the single). Prefer official AX-7226; verify spine/label. 12 tracks.
2026-09-17 artwork update: user authorised a straightened crop of the original reference photo while a clean online match remains unavailable.
Clean matching front cover sourced from Columbia: https://columbia.jp/artist-info/jacket/COKM-46459.jpg. Original LP date 1980-02-25; the 2026 date on the page is the digital reissue.",Present (visible in photo),,,,,,,,,Photo checked,2026-09-17,"Originally issued on 25 February 1980, this twelve-song album opens with “Osaka Shigure” and includes “Sayonara Kaikyō” and “Harumi”. Columbia’s official reissue page confirms the original AX-7226 catalogue number.",https://columbia.jp/artist-info/harumi/discography/COKM-46459.html,Columbia album notes,https://www.discogs.com/artist/495700,Discogs artist profile
34,西川峰子,Mineko Nishikawa,ベスト・コレクション '76,Best Collection '76,Victor,SJV-836~7,,2LP,Japan,Kayōkyoku / Enka,,Victor two-record set. Catalogue SJV-836~7 is visible on the sleeve.,IMG_3234.jpg — top left,34_reference_crop.jpg,https://www.discogs.com/search/?q=%E8%A5%BF%E5%B7%9D%E5%B3%B0%E5%AD%90%20SJV-836~7%20%E3%83%99%E3%82%B9%E3%83%88%E3%83%BB%E3%82%B3%E3%83%AC%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%20%2776,https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3234.jpg,reference_photo,"Photo audit 2026-09-17: IMG_3234.jpg, top left. Victor two-record set. Catalogue SJV-836~7 is visible on the sleeve.
Earlier imported notes (retained as history; may contain superseded readings): Victor SJV-836~7 confirmed. Distinct from #22 Sakurada SJV-832~3. Parent SXV-8002 incorrect.
2026-09-17 artwork update: user authorised a straightened crop of the original reference photo while a clean online match remains unavailable.",Not visible in supplied photo,,,,,,,,Exact release year needs confirmation (the sleeve is branded Best Collection '76). | Track listing is not yet recorded.,Needs verification,2026-09-17,Mineko Nishikawa’s two-record contribution to Victor’s Best Collection ’76 series. Its SJV-836–7 catalogue number distinguishes it from Junko Sakurada’s similarly titled set.,https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3234.jpg,Original sleeve (collection note),https://www.discogs.com/artist/3756573,Discogs artist profile
35,藤圭子,Keiko Fuji,悲しみの町 〜オリジナル・ヒット曲集,Kanashimi no Machi / Original Hit Collection (CD-4),RCA,R4J-7021,1973,LP (CD-4 Quadradisc),Japan,Enka,,,IMG_3234.jpg — top right,35_fuji_uramibushi_cd4.jpg,https://www.discogs.com/release/15416408,https://www.discogs.com/release/15416408,discogs,"Photo audit 2026-09-17: IMG_3234.jpg, top right. Artist, title and visible catalogue identifier checked against the original photograph.
Earlier imported notes (retained as history; may contain superseded readings): RCA CD-4 Quadradisc R4J-7021. Jacket primary title 悲しみの町 (parent tentatively called it 怨み節).
Track list corrected against Discogs release 15416408 (R4J-7021); duplicate CSV rows removed.",Not visible in supplied photo,,,,,,,,,Photo checked,2026-09-17,"A twelve-track collection led by “Kanashimi no Machi”, with “Onna no Melody” and “Ai no Kodoku”. This RCA issue uses the CD-4 four-channel format advertised as QuadraDisc on the sleeve.",https://www.discogs.com/release/15416408,Discogs release and track listing,https://www.discogs.com/artist/1070643,Discogs artist profile
36,美空ひばり,Hibari Misora,ゴールデン・スター・デラックス 美空ひばりのすべて,Golden Star Deluxe / Hibari Misora no Subete,Columbia,AB-7001~2,1976,2LP,Japan,Enka,,"White kimono portrait against a blue background. This is Hibari Misora, not Harumi Miyako; the previously copied Best 16 track list has been withdrawn.",IMG_3234.jpg — bottom left,36_verified_front_20260917.jpg,,https://fishfor.official.ec/items/85755036,retailer,"Photo audit 2026-09-17: IMG_3234.jpg, bottom left. White kimono portrait against a blue background. This is Hibari Misora, not Harumi Miyako; the previously copied Best 16 track list has been withdrawn. Reference: https://fishfor.official.ec/items/85755036
Earlier imported notes (retained as history; may contain superseded readings): DUPLICATE WARNING vs #08: same Best16 program / white-kimono-on-blue family. #08 catalogued AX-7092 (notes already said cover may read AA/AX). This copy jacket prints AA-7092 — physically separate copy in photos → keep separate Collection ID. Tracks mirrored from #08 FanFan AX-7092 listing.",Not visible in supplied photo,,,,,,,,Track listing needs transcription from this double album.,Needs verification,2026-09-17,A two-record Hibari Misora collection in the Golden Star Deluxe series. The photographed sleeve confirms AB-7001–2; the detailed programme is awaiting verification rather than borrowing another singer’s track list.,https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3234.jpg,Original sleeve (collection note),https://en.wikipedia.org/wiki/Hibari_Misora,Wikipedia
37,Various Artists,Various Artists,地球はひとつ SQ 4チャンネル,Chikyū wa Hitotsu / SQ 4-Channel (sampler),Sony / CBS-Sony Special Products,,,LP (SQ Quadraphonic),Japan,Pop / Jazz / Sampler,,"Sony SQ four-channel sampler with black concentric-groove artwork. SPEC-94019 is a candidate, not a photo-confirmed identifier.",IMG_3234.jpg — bottom right,37_reference_crop.jpg,,https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3234.jpg,reference_photo,"Photo audit 2026-09-17: IMG_3234.jpg, bottom right. Sony SQ four-channel sampler with black concentric-groove artwork. SPEC-94019 is a candidate, not a photo-confirmed identifier.
Earlier imported notes (retained as history; may contain superseded readings): Black groove-art cover; bottom text 地球はひとつ SQ 4チャンネル; Sony + SX-1318 on jacket. SQ 4-channel demo/sampler known for including 原信夫とシャープス＆フラッツ「Bitter Sweet Samba」. Full side-assigned tracklist not verified without inventing — omit tracks.
2026-09-17 artwork update: user authorised a straightened crop of the original reference photo while a clean online match remains unavailable.",Not visible in supplied photo,,,,,,,,Confirm the sampler catalogue number on its own label. The AX-7226 visible behind it belongs to another sleeve. | Track listing remains unconfirmed. | Release year needs confirmation.,Needs verification,2026-09-17,"A Sony demonstration record promoting SQ four-channel sound, under the title Chikyū wa Hitotsu (“The Earth Is One”). The exact edition and performers are still being checked.",https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3234.jpg,Original sleeve (collection note),,
38,赤い鳥,The Red Birds (Akai Tori),THE RED BIRDS STUDIO LIVE / スタジオ・ライブ,Studio Live,Liberty (Toshiba Musical Industries),LTP-9049,1971,LP,Japan,Folk / Pop,,Red Studio Live sleeve. The ¥380 shop sticker is not the original retail price or a confirmed purchase price.,IMG_3235.jpg — top left,38_red_birds_studio_live.jpg,https://www.discogs.com/release/12971621,https://www.discogs.com/release/12971621,discogs,"Photo audit 2026-09-17: IMG_3235.jpg, top left. Red Studio Live sleeve. The ¥380 shop sticker is not the original retail price or a confirmed purchase price.
Earlier imported notes (retained as history; may contain superseded readings): Red pop-art cover. Recorded 1971-10-12 Toshiba Studio No.1. MION/Discogs LTP-9049. 12 tracks.",Not visible in supplied photo,,,,,,,,,Photo checked,2026-09-17,"Sony’s official discography dates Studio Live to 20 December 1971, following Takeda no Komoriuta. It is an early Red Birds release, distinct from the later Million People concert album.",https://www.sonymusic.co.jp/Music/Info/junkoyamamoto/akaitoridisc.html,Sony Music discography,https://www.discogs.com/artist/2812156,Discogs artist profile
39,赤い鳥,The Red Birds (Akai Tori),ゴールデン・ディスク,Golden Disk (2LP),Express / Toshiba,ETP-60223~24,,2LP,Japan,Folk / Pop,,"Orange-bordered two-record set. The visible ¥380 sticker is a shop price, not a confirmed purchase price.",IMG_3235.jpg — top right,39_reference_crop.jpg,https://www.discogs.com/search/?q=%E8%B5%A4%E3%81%84%E9%B3%A5%20ETP-60223~24%20%E3%82%B4%E3%83%BC%E3%83%AB%E3%83%87%E3%83%B3%E3%83%BB%E3%83%87%E3%82%A3%E3%82%B9%E3%82%AF,https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3235.jpg,reference_photo,"Photo audit 2026-09-17: IMG_3235.jpg, top right. Orange-bordered two-record set. The visible ¥380 sticker is a shop price, not a confirmed purchase price.
Earlier imported notes (retained as history; may contain superseded readings): Jacket shows ETP-60223~24 (parent ETP-60222~23). Orange-border 2LP group photo.
2026-09-17 artwork update: user authorised a straightened crop of the original reference photo while a clean online match remains unavailable.",Not visible in supplied photo,,,,,,,,Release year and track listing remain unconfirmed.,Needs verification,2026-09-17,A two-record Red Birds compilation issued as Golden Disk. The orange-bordered sleeve identifies catalogue ETP-60223–24; its release year remains unconfirmed.,https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3235.jpg,Original sleeve (collection note),https://www.discogs.com/artist/2812156,Discogs artist profile
40,笹川鎮江,Shizue Sasagawa,愛吟集 第2集,Aiginshū Vol. 2 (Favorite Gin’ei Songs Vol. 2),Victor,,,"10"" LP",Japan,Traditional / Gin’ei (吟詠),,The sleeve reads 笹川鎮江 愛吟集 第2集. Smaller-format sleeve with moon and blossoms.,IMG_3235.jpg — bottom left,40_reference_crop.jpg,,https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3235.jpg,reference_photo,"Photo audit 2026-09-17: IMG_3235.jpg, bottom left. The sleeve reads 笹川鎮江 愛吟集 第2集. Smaller-format sleeve with moon and blossoms.
Earlier imported notes (retained as history; may contain superseded readings): Moon & sakura 愛吟集 第2集. Discogs SJX-10115 is 浜口庫之助 雨のピエロ — catalog collision; do not use. Jacket catalog unconfirmed on crop.
2026-09-17 artwork update: user authorised a straightened crop of the original reference photo while a clean online match remains unavailable.",Not visible in supplied photo,,,,,,,,Victor LV-series catalogue digits and release year need a clearer label view. | Track list remains unconfirmed.,Needs verification,2026-09-17,"The second volume of Shizue Sasagawa’s Aiginshū, a collection of gin’ei vocal performances. The moon-and-blossom sleeve supplies the artist and volume identification; a release date and full programme remain unverified.",https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3235.jpg,Original sleeve (collection note),https://nippon.zaidan.info/seikabutsu/2005/00403/contents/0002.htm,Nippon Foundation article
41,芳村伊十郎・杵屋栄次郎,Ijūrō Yoshimura / Eijirō Kineya,長唄 新曲浦島,Nagauta Shinkyoku Urashima,Columbia,CL-22,1958,"10"" LP",Japan,Traditional / Nagauta,,"Columbia CL-22. The Sony name belongs to the larger sleeve underneath, not this record.",IMG_3235.jpg — bottom right,41_nagauta_urashima_cl22.jpg,https://www.discogs.com/release/13923247,https://www.discogs.com/release/13923247,discogs,"Photo audit 2026-09-17: IMG_3235.jpg, bottom right. Columbia CL-22. The Sony name belongs to the larger sleeve underneath, not this record. Reference: https://www.discogs.com/release/13923247
Earlier imported notes (retained as history; may contain superseded readings): Sony CL-22; English NAGAUTA SHINKYOKU URASHIMA; woodblock-style Urashima figure. Photo credits mention Yoshimura / Kineya performers — verify exact name forms on jacket. Tracklist (likely multi-part nagauta) not verified — omit.",Not visible in supplied photo,,,,,,,,,Photo checked,2026-09-17,"A nagauta performance of Shinkyoku Urashima, divided into two parts across the record’s sides. The Columbia release credits Ijūrō Yoshimura and shamisen player Eijirō Kineya.",https://www.discogs.com/release/13923247,Discogs release and track listing,https://www.discogs.com/artist/2475755,Ijūrō Yoshimura on Discogs
42,堀江美都子,Mitsuko Horie,テレビ主題歌ヒット・アルバム 堀江美都子とともに,TV Theme Song Hit Album,Columbia,,,LP,,,,,IMG_3241.jpg,42_reference_crop.jpg,,https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3241.jpg,reference_photo,Identified from the front sleeve in IMG_3241.jpg.,,,,,,,,,Exact pressing and catalogue number need label verification | Track list not yet transcribed | Release year unverified,Needs verification,2026-09-18,"Collection note: TV Theme Song Hit Album by Mitsuko Horie, identified from the photographed sleeve. Exact pressing details and the track list remain to be checked.",https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3241.jpg,Collection notes from reference photograph,,
43,,Various Artists,ピンポンパン体操,Pin Pon Pan Taiso,Columbia,,,LP,,,,,IMG_3241.jpg,43_reference_crop.jpg,,https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3241.jpg,reference_photo,Identified from the front sleeve in IMG_3241.jpg.,,,,,,,,,Exact pressing and catalogue number need label verification | Track list not yet transcribed | Release year unverified,Needs verification,2026-09-18,"Collection note: Pin Pon Pan Taiso by Various Artists, identified from the photographed sleeve. Exact pressing details and the track list remain to be checked.",https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3241.jpg,Collection notes from reference photograph,,
44,,Various Artists,ゴールデンテレビまんが大行進 1 巨人の星,Golden TV Manga Daikoshin 1: Kyojin no Hoshi,Columbia,,,LP,,,,,IMG_3241.jpg,44_reference_crop.jpg,,https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3241.jpg,reference_photo,Identified from the front sleeve in IMG_3241.jpg.,,,,,,,,,Exact pressing and catalogue number need label verification | Track list not yet transcribed | Release year unverified,Needs verification,2026-09-18,"Collection note: Golden TV Manga Daikoshin 1: Kyojin no Hoshi by Various Artists, identified from the photographed sleeve. Exact pressing details and the track list remain to be checked.",https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3241.jpg,Collection notes from reference photograph,,
45,,Various Artists,みんなで変身,Minna de Henshin,Columbia,,,LP,,,,,IMG_3241.jpg,45_reference_crop.jpg,,https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3241.jpg,reference_photo,Identified from the front sleeve in IMG_3241.jpg.,,,,,,,,,Exact pressing and catalogue number need label verification | Track list not yet transcribed | Release year unverified,Needs verification,2026-09-18,"Collection note: Minna de Henshin by Various Artists, identified from the photographed sleeve. Exact pressing details and the track list remain to be checked.",https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3241.jpg,Collection notes from reference photograph,,
46,,Various Artists,野球狂の詩 オリジナル・サウンドトラック,Yakyukyo no Uta: Original Soundtrack,Columbia,,,LP,,,,,IMG_3241.jpg,46_reference_crop.jpg,,https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3241.jpg,reference_photo,Identified from the front sleeve in IMG_3241.jpg.,,,,,,,,,Exact pressing and catalogue number need label verification | Track list not yet transcribed | Release year unverified,Needs verification,2026-09-18,"Collection note: Yakyukyo no Uta: Original Soundtrack by Various Artists, identified from the photographed sleeve. Exact pressing details and the track list remain to be checked.",https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3241.jpg,Collection notes from reference photograph,,
47,堀江美都子,Mitsuko Horie,テレビアニメーションの世界,The World of TV Animation,Columbia,,,LP,,,,,IMG_3241.jpg,47_reference_crop.jpg,,https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3241.jpg,reference_photo,Identified from the front sleeve in IMG_3241.jpg.,,,,,,,,,Exact pressing and catalogue number need label verification | Track list not yet transcribed | Release year unverified,Needs verification,2026-09-18,"Collection note: The World of TV Animation by Mitsuko Horie, identified from the photographed sleeve. Exact pressing details and the track list remain to be checked.",https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3241.jpg,Collection notes from reference photograph,,
48,堀江美都子,Mitsuko Horie,ミッチの部屋,Micchi no Heya,Columbia,,,LP,,,,,IMG_3241.jpg,48_reference_crop.jpg,,https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3241.jpg,reference_photo,Identified from the front sleeve in IMG_3241.jpg.,,,,,,,,,Exact pressing and catalogue number need label verification | Track list not yet transcribed | Release year unverified,Needs verification,2026-09-18,"Collection note: Micchi no Heya by Mitsuko Horie, identified from the photographed sleeve. Exact pressing details and the track list remain to be checked.",https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3241.jpg,Collection notes from reference photograph,https://music.apple.com/jp/artist/%E5%A0%80%E6%B1%9F%E7%BE%8E%E9%83%BD%E5%AD%90/208472504?uo=4,Artist on Apple Music
49,川井憲次,Kenji Kawai,攻殻機動隊,Ghost in the Shell: Original Soundtrack,,,,LP,,,,,IMG_3241.jpg,49_reference_crop.jpg,,https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3241.jpg,reference_photo,Identified from the front sleeve in IMG_3241.jpg.,,,,,,,,,Exact pressing and catalogue number need label verification | Track list not yet transcribed | Release year unverified,Needs verification,2026-09-18,"Collection note: Ghost in the Shell: Original Soundtrack by Kenji Kawai, identified from the photographed sleeve. Exact pressing details and the track list remain to be checked.",https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3241.jpg,Collection notes from reference photograph,,
50,,Various Artists,ジャパニーズ・グラフィティ大百科,Jukebox 1,,,,LP,,,,,IMG_3242.jpg,50_reference_crop.jpg,,https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3242.jpg,reference_photo,Identified from the front sleeve in IMG_3242.jpg.,,,,,,,,,Exact pressing and catalogue number need label verification | Track list not yet transcribed | Release year unverified,Needs verification,2026-09-18,"Collection note: Jukebox 1 by Various Artists, identified from the photographed sleeve. Exact pressing details and the track list remain to be checked.",https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3242.jpg,Collection notes from reference photograph,,
51,,Various Artists,歌謡曲大百科,Jukebox 2,,,,LP,,,,,IMG_3242.jpg,51_reference_crop.jpg,,https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3242.jpg,reference_photo,Identified from the front sleeve in IMG_3242.jpg.,,,,,,,,,Exact pressing and catalogue number need label verification | Track list not yet transcribed | Release year unverified,Needs verification,2026-09-18,"Collection note: Jukebox 2 by Various Artists, identified from the photographed sleeve. Exact pressing details and the track list remain to be checked.",https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3242.jpg,Collection notes from reference photograph,,
52,,Various Artists,越路・ペギー・由紀・デューク,Jukebox 5,,,,LP,,,,,IMG_3242.jpg,52_reference_crop.jpg,,https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3242.jpg,reference_photo,Identified from the front sleeve in IMG_3242.jpg.,,,,,,,,,Exact pressing and catalogue number need label verification | Track list not yet transcribed | Release year unverified,Needs verification,2026-09-18,"Collection note: Jukebox 5 by Various Artists, identified from the photographed sleeve. Exact pressing details and the track list remain to be checked.",https://github.com/richardmands/record_collection/blob/main/data/reference-photos/IMG_3242.jpg,Collection notes from reference photograph,,
